Timestamps,SensorValue
0,416
1999,416
4000,992
6000,454
8001,449
10002,458
12002,458
14003,458
16003,457
18003,455
20004,454
22004,453
24005,451
26005,450
28006,449
30007,450
32007,451
34008,453
36007,457
38008,461
40009,466
42009,471
44010,478
46010,484
48011,491
50012,498
52012,506
54012,513
56013,520
58013,529
60014,536
62014,543
64015,551
66016,557
68016,561
70017,565
72016,570
74017,574
76018,582
78018,577
80019,150
82019,145
84020,143
86021,142
88020,152
90021,155
92022,151
94022,157
96023,151
98023,155
100024,167
102025,165
104025,162
106025,169
108026,495
110026,518
112027,539
114027,689
116028,724
118029,1006
120029,1019
122030,1015
124030,1016
126030,1020
128031,1020
130032,1022
132032,1019
134033,1022
136034,1023
138034,1023
140035,1023
142035,1023
144035,1023
146036,859
148037,881
150037,870
152038,878
154039,185
156039,202
158040,247
160039,886
162040,312
164041,899
166041,904
168042,281
170043,922
172043,928
174044,289
176045,273
178044,243
180045,544
182046,944
184046,925
186047,937
188047,938
190048,374
192049,630
194049,945
196049,940
198050,927
200050,992
202051,941
204052,949
206052,953
208053,957
210053,958
212054,960
214054,961
216054,964
218055,965
220056,967
222056,968
224057,970
226058,970
228058,971
230059,972
232059,989
234059,960
236060,942
238060,941
240061,953
242062,968
244062,961
246063,1019
248064,962
250063,963
252064,965
254065,969
256065,971
258066,972
260067,974
262067,975
264068,978
266067,980
268068,981
270069,984
272069,984
274070,986
276071,986
278071,987
280072,987
282073,987
284072,987
286073,989
288074,989
290074,989
292075,989
294075,991
296076,990
298077,990
300077,992
302077,992
304078,990
306078,992
308079,991
310080,992
312080,992
314081,991
316082,992
318082,993
320082,992
322082,992
324083,992
326084,992
328084,992
330085,993
332086,992
334086,992
336087,991
338087,989
340087,988
342088,988
344089,987
346089,987
348090,987
350090,988
352091,989
354092,989
356091,991
358092,991
360093,991
362093,991
364094,991
366095,992
368095,992
370096,991
372096,991
374096,991
376097,991
378097,992
380098,993
382099,993
384099,993
386100,991
388101,994
390100,994
392101,993
394102,994
396102,994
398103,994
400103,995
402104,996
404105,996
406105,995
408105,994
410106,995
412106,995
414107,996
416108,996
418108,996
420109,996
422110,996
424110,996
426110,997
428110,996
430111,997
432112,996
434112,992
436113,990
438114,989
440114,989
442115,989
444115,992
446115,994
448116,993
450117,996
452117,996
454118,996
456118,996
458119,997
460120,998
462119,998
